Frase,Autor,Categoría,unknown,unknown,unknown,unknown,unknown
Un amigo es uno que lo sabe todo de ti y a pesar de ello te quiere.,Elbert Hubbard (1856-1915) Ensayista estadounidense.,SENTIMIENTOS / AMISTAD,,,,,
"Si sientes que todo perdió su sentido, siempre habrá un ¨te quiero¨, siempre habrá un amigo.",Emerson (1803-1882) Poeta y pensador estadounidense.,SENTIMIENTOS / AMISTAD / AMIGOS,,,,,
"La amistad es más difícil y más rara que el amor. Por eso, hay que salvarla como sea.",Alberto Moravia (1907-1990) Alberto Pincherle. Escritor italiano.,SENTIMIENTOS / AMISTAD,,,,,
Ama hasta que te duela. Si te duele es buena señal.,Madre Teresa de Calcuta (1910-1997) Misionera de origen albanés naturalizada india,SENTIMIENTOS / AMOR / AMAR,,,,,
"Un hermano puede no ser un amigo, pero un amigo será siempre un hermano.","Demetrio de Falero (350 AC-280 AC) Orador, filósofo y gobernante ateniense.",SENTIMIENTOS / AMISTAD,,,,,
"Te amo para amarte y no para ser amado, puesto que nada me place tanto como verte a ti feliz.",George Sand (1804-1876) Escritora francesa.,SENTIMIENTOS / AMOR / AMAR,,,,,
"En un beso, sabrás todo lo que he callado.",Pablo Neruda (1904-1973) Poeta chileno.,SENTIMIENTOS / AMOR / BESOS,,,,,
"No olvides nunca que el primer beso no se da con la boca, sino con los ojos.",O. K. Bernhardt Escritor alemán.,SENTIMIENTOS / AMOR / BESOS,,,,,
"Cuando mi voz calle con la muerte, mi corazón te seguirá hablando.",Rabindranath Tagore (1861-1941) Filósofo y escritor indio.,SENTIMIENTOS / AMOR / CORAZÓN,,,,,
La amistad es un alma que habita en dos cuerpos; un corazón que habita en dos almas.,Aristóteles (384 AC-322 AC) Filósofo griego.,SENTIMIENTOS / AMISTAD,,,,,
El amor es: el dolor de vivir lejos del ser amado.,Anónimo,SENTIMIENTOS / AMOR,,,,,
El que busca un amigo sin defectos se queda sin amigos.,Proverbio turco,SENTIMIENTOS / AMISTAD,,,,,
Uno está enamorado cuando se da cuenta de que otra persona es única.,Jorge Luis Borges (1899-1986) Escritor argentino.,SENTIMIENTOS / AMOR,,,,,
"Por muy larga que sea la tormenta, el sol siempre vuelve a brillar entre las nubes.","Khalil Gibran (1883-1931) Ensayista, novelista y poeta libanés.",SENTIMIENTOS / ESPERANZA,,,,,
"Por una mirada, un mundo;","por una sonrisa, un cielo;",por un beso... yo no sé,qué te diera por un beso.,Gustavo Adolfo Bécquer (1836-1870) Poeta español.,SENTIMIENTOS / AMOR / BESOS,,
"El verdadero amor es como los espíritus: todos hablan de ellos, pero pocos los han visto.",François de La Rochefoucauld (1613-1680) Escritor francés.,SENTIMIENTOS / AMOR,,,,,
Los verdaderos amigos se tienen que enfadar de vez en cuando.,Louis Pasteur (1822-1895) Químico y microbiólogo francés.,SENTIMIENTOS / AMISTAD / AMIGOS,,,,,
La posibilidad de realizar un sueño es lo que hace que la vida sea interesante.,Paulo Coelho (1947-?) Escritor brasileño.,PENSAMIENTO Y RAZÓN / SUEÑOS,,,,,
"Amar no es solamente querer, es sobre todo comprender.",Françoise Sagan (1935-2004) Escritora francesa.,SENTIMIENTOS / AMOR / AMAR,,,,,
"Lo pasado ha huido, lo que esperas está ausente, pero el presente es tuyo.",Proverbio árabe,TIEMPO / PRESENTE,,,,,
"Lo bueno de los años es que curan heridas, lo malo de los besos es que crean adicción.",Joaquín Sabina (1949-?) Cantautor y poeta español.,SENTIMIENTOS / AMOR / BESOS,,,,,
Ni la ausencia ni el tiempo son nada cuando se ama.,Alfred de Musset (1810-1857) Poeta francés.,SENTIMIENTOS / AMOR / AMAR,,,,,
"La verdadera amistad es como la fosforescencia, resplandece mejor cuando todo se ha oscurecido.",Rabindranath Tagore (1861-1941) Filósofo y escritor indio.,SENTIMIENTOS / AMISTAD,,,,,
Los amigos que tienes y cuya amistad ya has puesto a prueba / engánchalos a tu alma con ganchos de acero.,William Shakespeare (1564-1616) Escritor británico.,SENTIMIENTOS / AMISTAD,,,,,
La amistad duplica las alegrías y divide las angustias por la mitad.,Sir Francis Bacon (1561-1626) Filósofo y estadista británico.,SENTIMIENTOS / AMISTAD,,,,,
"Cuando la vida te presente razones para llorar, demuéstrale que tienes mil y una razones para reír.",Anónimo,NATURALEZA / VIDA,,,,,
"El que ha conocido sólo a su mujer y la ha amado, sabe más de mujeres que el que ha conocido mil.",Leon Tolstoi (1828-1910) Escritor ruso.,SENTIMIENTOS / AMOR / AMAR,,,,,
El más difícil no es el primer beso sino el último.,Paul Géraldy (1885-1983) Poeta y dramaturgo francés.,SENTIMIENTOS / AMOR / BESOS,,,,,
"Lo que hoy siente tu corazón, mañana lo entenderá tu cabeza.",Anónimo,SENTIMIENTOS / AMOR / CORAZÓN,,,,,
"Aprendemos a amar no cuando encontramos a la persona perfecta, sino cuando llegamos a ver de manera perfecta a una persona imperfecta.","Sam Keen (1931-?) Escritor, profesor y filósofo americano.",SENTIMIENTOS / AMOR / AMAR,,,,,
La señal de que no amamos a alguien es que no le damos todo lo mejor que hay en nosotros.,Paul Claudel (1868-1955) Escritor y diplomático francés.,SENTIMIENTOS / AMOR / AMAR,,,,,
Nunca desistas de un sueño. Sólo trata de ver las señales que te lleven a él.,Paulo Coelho (1947-?) Escritor brasileño.,PENSAMIENTO Y RAZÓN / SUEÑOS,,,,,
Amar no es mirarse el uno al otro; es mirar juntos en la misma dirección.,Antoine de Saint-Exupéry (1900-1944) Escritor francés.,SENTIMIENTOS / AMOR / AMAR,,,,,
"El hombre y la mujer han nacido para amarse, pero no para vivir juntos. Los amantes célebres de la historia vivieron siempre separados.",Noel Clarasó (1899-1985) Escritor español.,SENTIMIENTOS / AMOR / AMANTES,,,,,
"La dicha de la vida consiste en tener siempre algo que hacer, alguien a quien amar y alguna cosa que esperar.","Thomas Chalmers (1780-1847) Ministro presbiteriano, teólogo, escritor escocés.",SENTIMIENTOS / FELICIDAD,,,,,
Todos somos muy ignorantes. Lo que ocurre es que no todos ignoramos las mismas cosas.,Albert Einstein (1879-1955) Científico alemán nacionalizado estadounidense.,DEFECTOS / IGNORANCIA,,,,,
Amar es encontrar en la felicidad de otro tu propia felicidad.,"Gottfried Leibniz (1646-1716) Filósofo, físico y matemático alemán.",SENTIMIENTOS / AMOR / AMAR,,,,,
Conocer el amor de los que amamos es el fuego que alimenta la vida.,Pablo Neruda (1904-1973) Poeta chileno.,SENTIMIENTOS / AMOR,,,,,
El verdadero amigo es aquel que a pesar de saber como eres te quiere.,Anónimo,SENTIMIENTOS / AMISTAD / AMIGOS,,,,,
Felicidad no es hacer lo que uno quiere sino querer lo que uno hace.,Jean Paul Sartre (1905-1980) Filósofo y escritor francés.,SENTIMIENTOS / FELICIDAD,,,,,
"Las cartas de amor se escriben empezando sin saber lo que se va a decir, y se terminan sin saber lo que se ha dicho.",Jean Jacques Rousseau (1712-1778) Filósofo francés.,SENTIMIENTOS / AMOR / CARTAS DE AMOR,,,,,
La gente se arregla todos los días el cabello. ¿Por qué no el corazón?,Proverbio chino,SENTIMIENTOS / AMOR / CORAZÓN,,,,,
Quien habla mal de mí a mis espaldas mi culo contempla.,Winston Churchill (1874-1965) Político británico.,NATURALEZA / SER HUMANO / HABLAR / HABLAR MAL,,,,,
Si lo que vas a decir no es más bello que el silencio: no lo digas.,Proverbio árabe,NATURALEZA / SER HUMANO / HABLAR,,,,,
Un beso legal nunca vale tanto como un beso robado.,Guy de Maupassant (1850-1893) Escritor francés.,SENTIMIENTOS / AMOR / BESOS,,,,,
Es más fácil quedar bien como amante que como marido; porque es más fácil ser oportuno e ingenioso de vez en cuando que todos los días.,Honoré de Balzac (1799-1850) Escritor francés.,SENTIMIENTOS / AMOR / AMANTES,,,,,
"La mayor declaración de amor es la que no se hace; el hombre que siente mucho, habla poco.",Platón (427 AC-347 AC) Filósofo griego.,SENTIMIENTOS / AMOR,,,,,
"La primera vez que me engañes, será culpa tuya; la segunda vez, la culpa será mía.",Proverbio árabe,MISCELÁNEA / ENGAÑO,,,,,
"Un libro abierto es un cerebro que habla; cerrado un amigo que espera; olvidado, un alma que perdona; destruido, un corazón que llora.",Proverbio hindú,ARTE / LITERATURA / LIBROS,,,,,
